address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,blockNumber_int,timeStamp_int,timeStamp_dt,sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff', '0x000000000000000000000000b4eae88d1643e172518dde0ef213c20628798c65']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffff94877c000000000000000000000000000000000000000000000000000f2be175640d9cd00000000000000000000000000000000000060293a273945d098e2b54427a91c0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a881,0xd5ca78be6c6b42cf929074f502cef676372c26f8d0ba389b6f9b5d612d70f815,0x64ea269b,0x59357e7b1,0x3559a,0xbd,0x8187139f2cf5e1d2b0a817f2951f0592fccc43dabf71ebc93de0edb648bd3413,0x21,18000001,1693066907,2023-08-26 16:21:47,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xb4eae88d1643e172518dde0ef213c20628798c65,-112691264,68325951804594637,1950377674162784547402475521943836,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x000000000000000000000000a66cdad5facbcbf74d9b60dcc8034c2a485e63ff']",0x00000000000000000000000000000000000000000000000000000000401332c0fffffffffffffffffffffffffffffffffffffffffffffffff6f6b698605fa7e00000000000000000000000000000000000006029363eb5b8121655aa04c1a9370000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a882,0x5b94c39ad7eecbf043f62a4a76c5abee87195207df98ae16eb3f289b2267f141,0x64ea26a7,0x5760a9dc4,0x377b4,0xad,0x29ec08dc5eed0e1cd411b29c52607661155087ffa107bae7f5e4a79f5306be1d,0x2b,18000002,1693066919,2023-08-26 16:21:59,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa66cdad5facbcbf74d9b60dcc8034c2a485e63ff,1075000000,-651132330540292128,1950376464615720204913290619496759,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000def171fe48cf0115b1d80b88dc8eab59176fee57']",0x00000000000000000000000000000000000000000000000000000001270b0180ffffffffffffffffffffffffffffffffffffffffffffffffd664289744e30afa0000000000000000000000000000000000006029243fb55ca06713afd232bc8b0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a88d,0xf68f282d1fc1e116c64443efd6ef0a0e1048bf21017d443db4dd8f67ae14f575,0x64ea272b,0x46c7cfe00,0x2ea32,0xe7,0xcf7b968094b30c7a7e1c88003e8496c621b73ef284e41019c53101548ae20825,0x5e,18000013,1693067051,2023-08-26 16:24:11,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,4950000000,-2998226821761004806,1950370895092782394767185122868363,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad']",0x000000000000000000000000000000000000000000000000000000001dcd6500fffffffffffffffffffffffffffffffffffffffffffffffffbcc0f4f3d5042ad0000000000000000000000000000000000006029226e5b31fb8909eb975215260000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a88f,0x943f087b63585553db2d5a45f7550e41557405aa9ab475e29a2fdd0b008d001a,0x64ea2743,0x43c08918f,0x31ab2,0x109,0x070379239598fdeaed5cf8910f87135c55783fb75778715c16400ea4a4e96b7b,0x75,18000015,1693067075,2023-08-26 16:24:35,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,500000000,-302850241935162707,1950370332516476647311649558107430,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x00000000000000000000000081a460ea6fd96a73d5672f1f4aa684697d4b44cc']",0x000000000000000000000000000000000000000000000000000000012a05f200ffffffffffffffffffffffffffffffffffffffffffffffffd5f8a1d5b147957700000000000000000000000000000000000060291040d94f30bc0760988c158e0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a89d,0x6ac7fe3575dfb18c5dc8b746acd0d472e78230a30ea1c67d1c6354b963d4f33b,0x64ea27eb,0x490b2770e,0x3024a,0xe9,0xb3bb64bb54d6465a80bfa0fe396868c08c40595b84e9d49ee493ff0b056d8f34,0x4d,18000029,1693067243,2023-08-26 16:27:23,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x81a460ea6fd96a73d5672f1f4aa684697d4b44cc,5000000000,-3028492810232294025,1950364706771269126652095168779662,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad']",0x00000000000000000000000000000000000000000000000000000000093d1cc0fffffffffffffffffffffffffffffffffffffffffffffffffeb275e92a7ba98c00000000000000000000000000000000000060290fb0972f487dd75ae4934a090000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a89e,0x2dbbc8eff60fcd4972f1148182e80c64a1ef0eaebd6e6068337b96562b83c817,0x64ea27f7,0x47a9e8d5c,0x2bde5,0x13d,0xf2a7a81d39cfa4e64b67d33a2c4e63cc7291fd931ebae2754240d9a9ecbb47b4,0x76,18000030,1693067255,2023-08-26 16:27:35,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,155000000,-93882997920781940,1950364532373686330343746023148041,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000003fc91a3afd70395cd496c647d5a6cc9d4b2b7fad', '0x0000000000000000000000003aaf77ba7da262e34dffb9b10fc6777bfda79ab7']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffe592ebf000000000000000000000000000000000000000000000000003baff8fcd9044e00000000000000000000000000000000000060290fca64954debbfb7493538bc0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a89f,0x7e1dabcde7950f21ee505dc6d8afb9be5e90e4082537b1e6ddc42c1bd26dac72,0x64ea2803,0x466fc897b,0x34744,0x15c,0xfb0800075a5b48d32e9766962bded29a59ed1a4231d4124c63585f035ef58f49,0x4b,18000031,1693067267,2023-08-26 16:27:47,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3aaf77ba7da262e34dffb9b10fc6777bfda79ab7,-27709761,16800507554759758,1950364563566798908817497207945404,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000cb3702bc25b0f284b032e5edf1a1ebea2fe43255', '0x000000000000000000000000cb3702bc25b0f284b032e5edf1a1ebea2fe43255']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffff60dcbd100000000000000000000000000000000000000000000000001676fea0000000000000000000000000000000000000000000060291065c64212eb03a16c0683b20000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8a0,0x71ed471996c09b4e7167186f25bd7ae6eee5ff6688a1d4bfda7b5b6dc53a5bb0,0x64ea280f,0x45937c5ae,0x669d0,0x1c,0x195b32039fe91b7d662827637e7fac59ebde269aa223cfb3164556b7d243b40c,0x2,18000032,1693067279,2023-08-26 16:27:59,0xcb3702bc25b0f284b032e5edf1a1ebea2fe43255,0xcb3702bc25b0f284b032e5edf1a1ebea2fe43255,-166868015,101172567452155904,1950364751411557533043276296651698,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff', '0x000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25eff']",0x0000000000000000000000000000000000000000000000000000000007156b84ffffffffffffffffffffffffffffffffffffffffffffffffff00434a7445e71300000000000000000000000000000000000060290ff72a8cc3d28200771eb9a40000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8a1,0x0304c77dfd4b2ca9da6a15f2e6ffbaec258e9c6934e41a58be1a7c9a378c535a,0x64ea281b,0x45c32b62e,0x48b91,0x182,0xf28c37f6f39da97a1e5d1b9df4ca35ac8dc5217fb51c587a6fd5d1c54da7741f,0x86,18000033,1693067291,2023-08-26 16:28:11,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xdef1c0ded9bec7f1a1670819833240f027b25eff,118844292,-71983606980548845,1950364617694406010464073901062564,42650691009184698025,202234
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45', '0x0000000000000000000000009e0905249ceefffb9605e034b534544684a58be6']",0x000000000000000000000000000000000000000000000000000000002ac95019fffffffffffffffffffffffffffffffffffffffffffffffff9f74fefbe615ce500000000000000000000000000000000000060290d5b13c0e6a8594265c61acb0000000000000000000000000000000000000000000000024fe5b17ff3668ea900000000000000000000000000000000000000000000000000000000000315fa,0x112a8a6,0xe4ad7c08e013c29860653e2eadabfcd60d2eed5f9a6201ee2292fd160ea45997,0x64ea2857,0x476ea04df,0x34744,0x192,0xa8c4873c8540e31366847b146c17b7f81a8ea89399faf8f1087526ab6adb5ef0,0x6f,18000038,1693067351,2023-08-26 16:29:11,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x9e0905249ceefffb9605e034b534544684a58be6,717836313,-434790947908133659,1950363810024305819626661759818443,42650691009184698025,202234
