transactionHash,if_is_anomaly,ae_is_anomaly,fusion_union_anom,fusion_intersection_anom,fusion_ensemble_anom,if_anom_score,ae_anom_score,fusion_score
0x8187139f2cf5e1d2b0a817f2951f0592fccc43dabf71ebc93de0edb648bd3413,True,True,True,True,True,0.5376837237890892,0.0016142184971256652,0.26964897114310743
0x29ec08dc5eed0e1cd411b29c52607661155087ffa107bae7f5e4a79f5306be1d,True,False,True,False,True,0.5390764949272542,0.0014928642414287544,0.2702846795843415
0xcf7b968094b30c7a7e1c88003e8496c621b73ef284e41019c53101548ae20825,True,False,True,False,True,0.536590081790988,0.0009009391183000902,0.26874551045464407
0x070379239598fdeaed5cf8910f87135c55783fb75778715c16400ea4a4e96b7b,False,False,False,False,False,0.5040854035385142,0.0008640485833233767,0.25247472606091875
0xb3bb64bb54d6465a80bfa0fe396868c08c40595b84e9d49ee493ff0b056d8f34,True,False,True,False,True,0.5404727200879427,0.0009592314288940097,0.2707159757584183
0xf2a7a81d39cfa4e64b67d33a2c4e63cc7291fd931ebae2754240d9a9ecbb47b4,False,False,False,False,False,0.5066874226348379,0.0010025111584010629,0.2538449668966195
0xfb0800075a5b48d32e9766962bded29a59ed1a4231d4124c63585f035ef58f49,False,False,False,False,False,0.5066838569255399,0.0009713775583056341,0.25382761724192276
0x195b32039fe91b7d662827637e7fac59ebde269aa223cfb3164556b7d243b40c,True,False,True,False,True,0.5486849133775918,0.0012337535537748836,0.27495933346568335
0xf28c37f6f39da97a1e5d1b9df4ca35ac8dc5217fb51c587a6fd5d1c54da7741f,False,False,False,False,False,0.5159433531276655,0.0009834279826135214,0.2584633905551395
0xa8c4873c8540e31366847b146c17b7f81a8ea89399faf8f1087526ab6adb5ef0,False,False,False,False,False,0.5133979851399307,0.0009490738948498083,0.25717352951739025
0x576d098aa850b1a9a6d4cec157a3cfc1153eec103e81ed7fc055773e23eef160,True,False,True,False,True,0.5356271240108627,0.001170991494201282,0.268399057752532
0xa7082b7b8f569d53499eb79fca2b2c8126458727a59472af96b511d37be8066e,True,False,True,False,True,0.5629439490189261,0.0015212551856365161,0.2822326021022813
0x493308c5c6517d181e3a697f2b77a7ebd327ef9c4d616bc48dbf02e528696bdd,False,False,False,False,False,0.5090397069519684,0.0010712334406149237,0.25505547019629166
0xf880a2f80e3340a3de91561d4e071cda46ec7c9d82d679f1032d5b2d4f0dd5a6,True,True,True,True,True,0.730518378573545,0.019422093053066972,0.37497023581330596
0x66894f5531f22491de9e534d16332f2f7657ea2a4ee851184f12f8d52333aac7,False,False,False,False,True,0.5282842631752114,0.0012103776772138955,0.26474732042621263
0x6e4eda20b7cfa9b6d1e36e71fcebad75c3d03a7faaf4e490aaa1c033012d3656,True,True,True,True,True,0.5594377104506444,0.010200508549133994,0.2848191094998892
0x525bde5f069dac2457e3dccda54bdbef9bf268a3ac953b49ae6f2cca7008b106,True,True,True,True,True,0.9999999999976436,0.07761356035776003,0.5388067801777018
0x4cafa490b98c87c5d1867ff279e222ca01dfdb20393ce63d3533d9e2332a9050,False,False,False,False,False,0.4489138361129272,0.0009242208962478428,0.2249190285045875
0x7ae4087e67a5d95f9c58afc03b282c3f5d90c4ce9d0260ecb79a7ba986220fcd,False,False,False,False,False,0.4045575896755284,0.0006548167227276932,0.20260620319912806
0x78fe21e7565ae57985b71664d79c1ec2991d0e500c5c858ef943c7279d1e298e,False,False,False,False,False,0.2835770978218413,5.864027773325273e-05,0.1418178690497873
0xf30a9820f35e96a345c7385f4fc5817607dda9ba0ba3a19e18e0b7213a11d287,False,False,False,False,False,0.2921775824756331,9.926156675594595e-05,0.1461384220211945
0x260b99ad20aee1eae6ab1e764ba1b3a6bf946c3da605e0a5256e90e754ec330f,False,False,False,False,False,0.27762111436305914,6.89006426812025e-05,0.13884500750287018
0x380b9c771c20e3aee11096f12896a6e35335a62ff6983d60e5b7aa62e746df77,False,False,False,False,False,0.4533306084994048,0.00022755573545331045,0.22677908211742906
