transactionHash,anomaly_group
0x8187139f2cf5e1d2b0a817f2951f0592fccc43dabf71ebc93de0edb648bd3413,1
0x29ec08dc5eed0e1cd411b29c52607661155087ffa107bae7f5e4a79f5306be1d,1
0xcf7b968094b30c7a7e1c88003e8496c621b73ef284e41019c53101548ae20825,1
0xb3bb64bb54d6465a80bfa0fe396868c08c40595b84e9d49ee493ff0b056d8f34,1
0x195b32039fe91b7d662827637e7fac59ebde269aa223cfb3164556b7d243b40c,1
0x576d098aa850b1a9a6d4cec157a3cfc1153eec103e81ed7fc055773e23eef160,1
0xa7082b7b8f569d53499eb79fca2b2c8126458727a59472af96b511d37be8066e,1
0xf880a2f80e3340a3de91561d4e071cda46ec7c9d82d679f1032d5b2d4f0dd5a6,1
0x6e4eda20b7cfa9b6d1e36e71fcebad75c3d03a7faaf4e490aaa1c033012d3656,1
0x525bde5f069dac2457e3dccda54bdbef9bf268a3ac953b49ae6f2cca7008b106,1
0x58d84eb8673cb03710908308f10440a3eff9f055583cad6933609353df84e6ff,1
0xd71237977566fc90f775c31715f7d443e46eb7e356726552d08600347cf0d9a5,1
0xffb1cb00b80d185b8d825d6caf9ee86dbff622359cc18cd9457865a20f26fe24,1
0x99f2d76d7522b8fe92295e957fc635930416e842645bdba7c44540c8c9f4cb99,1
0xd65039ae0a0f4067f56dc01ed0a13c216d78b77ca854dc30ba3a4e18cc8bcb9d,1
0x47923e680c5b276593275e006e6c32d51ff8198d8bab888ae470142b206619c7,0
0x1b47852ee249cf5d95c34ca4b24b1fe2ac22ad75dd2576548b221c232ce6345c,1
0xdc6607026225773adbfec94384b9339cada5aa4f7d2752f26f63a9d8da22cd16,1
0xd4260c417599fc18ff99e9116a157a08be191b5be2f8e1645660016871bfd4bd,0
0x2bbfaf21194ee76c04beceb33f3852867b0475758372d526e8703930c0740619,1
0x23b59448f8fc805b8f633bb15688af70b7290da9b8eb660d53c9efb30cddf408,1
0xbb3472a6d471e504c1f721458f3dd180d4790497d827997a49ea957361698b53,0
0xaf84a63eebee778e7a05ae701eefe43733942400bd49203bf41683b12c76e127,1
0x28703cc1024f9fa467e7e5b9d25225695035a29d7dbeb79524a00cad9f2a7ad5,1
0xae9c33710a0d3fe21ba6923d8676dd6e02d659ee0aa2a164ac6937efe0b6b772,1
0x4728d4ce16b69512ea7afc031b96f6fb0934b8a48f3f10f04cd84a2c3829204f,1
0x9fad3a3d6452586cc6f0b6e06971ae0f5ccd5a3d91aee8465c9a43bf4d95b41c,1
0x26f11682a8f9c9ac0249195474b67af56818cf588851eda38e5346f7dbbe8cd9,1
0x8e0ac083a73594eb1eea052342b6a55231b173e1f48d543dfc19ecff6fffba5a,1
0x968aef92fa8bb47daa6594bfb4b101e158c07804e63489de979066b46cdb29fc,1
0x45b8b284e2e8e07e42f7fd84c5d8aab7f01536871cc440fb4e2490511fb9a6b6,0
0xc5830e6404accb026f5448bfd8b93c2ae022ce9c6541a1d51412070ec2b7844e,1
0xac30b6730cc0f61a9f6f68822ace0f902a1a8bfb077c9d062215bf40eb378b44,1
0x98c23b1a73059e7bebdb13650d135f67241730a044c5ab1ad561672ea993c26d,1
0x8867e2c2067044d2a48d97964e586f8832f528a08f60b9069d44dac969acff3b,1
0xbc1c1e85c491a467945794a0b75ebc5ca3626ea66f4083f2bb3752982330a8e6,1
0x122ae355a3cc9ea97946106855d1284c3ef4efa6763ebaaede1a71b825347b14,0
0xa6ad3072341f593832ebe9875b95ad55239c76c9152933262afcde3986385076,1
0x9f1645ae3f3d8f808e31755c5dd0f89d3b13a273e2e85de54a103066bda8328a,0
0x55870b25aef8b72d74d421928862506efbf550c416c0bcdcd69b53f90b6dd711,0
0x887a82028581a509985268ee747e99dd33832c417abe3d3100ef823dfbf44a9d,1
0x8aede0da71de5a350a358bebd83b1f313624f06c62cf1a4599bd3da3151ae820,1
0x4f19c6d7add8496b0f6c7816a20ec79f5fc1d223c4e67856c9f903f4c9b84306,0
0x11aa57039b6d3913af5f167fe36c7ab5661426326e51fcf05acafc7c8771bb82,1
0x906c87dfc10add3947e88b32d7c8ab0982f93b77b6b7a0bacd36b58e03446b3f,0
0xda31e4f7b384ee5736ba3f77e8c276c1f70c062c2d27c5ae3347289c6e2a390b,0
0xa663daaf6615cc29397ad38f8fdfa3f7e7505c7f6a95842673335d2074e78716,0
0xfb596a5e063a1e05cb863f278028949893a4e99f5a255bfd7e73627ffc5a4a35,1
0xfb596a5e063a1e05cb863f278028949893a4e99f5a255bfd7e73627ffc5a4a35,1
0xfb596a5e063a1e05cb863f278028949893a4e99f5a255bfd7e73627ffc5a4a35,1
